Sample ID,Latitude,Longitude,mtDNA Ance,Dist.to.HZcenter,Region,TotalClineDist,ClineCenterLoc,ScaledClineLocation,mtDNA
S18-7763,38.5615,-121.8452,native SVRF,16.51647924,SacramentoValley,631.78,421.85,0.69385938,1
S13-2578,38.524,-121.9191,nonnative,16.92488753,SacramentoValley,631.78,421.85,0.694505821,0
S08-0511,38.6874,-121.7517,native SVRF,17.07978037,SacramentoValley,631.78,421.85,0.69475099,1
S07-0056,38.67,-121.78,native SVRF,17.22943642,SacramentoValley,631.78,421.85,0.69498787,1
S08-0003,38.5788,-121.8406,native SVRF,17.69018122,SacramentoValley,631.78,421.85,0.69571715,1
S19-6908,38.7526,-121.5768,native SVRF,17.99598768,SacramentoValley,631.78,421.85,0.69620119,1
S11-0346,38.692,-121.7704,nonnative,18.470708,SacramentoValley,631.78,421.85,0.696952591,0
S13-1298,38.5236,-121.958,native SVRF,18.59903789,SacramentoValley,631.78,421.85,0.697155715,1
S13-1866,38.5236,-121.958,native SVRF,18.59903789,SacramentoValley,631.78,421.85,0.697155715,1
S13-1297,38.5233,-121.9589,native SVRF,18.61472418,SacramentoValley,631.78,421.85,0.697180544,1
S13-1733,38.523,-121.96,native SVRF,18.64054233,SacramentoValley,631.78,421.85,0.69722141,1
S13-1873,38.523,-121.96,native SVRF,18.64054233,SacramentoValley,631.78,421.85,0.69722141,1
S08-0765,38.4934,-122.0028,native SVRF,18.67085524,SacramentoValley,631.78,421.85,0.69726939,1
S13-2444,38.5228,-121.9621,native SVRF,18.72533952,SacramentoValley,631.78,421.85,0.697355629,1
S13-2443,38.5228,-121.9623,native SVRF,18.73523132,SacramentoValley,631.78,421.85,0.697371286,1
s11-0010,38.536,-121.9403,native SVRF,19.00695929,SacramentoValley,631.78,421.85,0.697801385,1
S09-0816,38.5834,-121.8654,native SVRF,19.49169402,SacramentoValley,631.78,421.85,0.698568638,1
S17-1530,38.5616,-121.8558,native SVRF,19.52925904,SacramentoValley,631.78,421.85,0.698628097,1
